34.6996 41.4257 --
27.7625 33.4186 --
19.5547 24.3534 24.4
14.9742 20.5179 20.1
14.795 19.6363 19.4
14.5022 19.5768 --
9.1459 13.8767 13.54
8.0665 12.9691 13.00
7.9018 12.482 12.73
## Reference experimental
